"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Aug 01 14:38:37 GMT 2021","Sun Aug 01 14:38:37 GMT 2021","0","test","conduit_panniangyan_test","TestConduit","","","test__registration",""
"broken","Sun Aug 01 14:38:37 GMT 2021","Sun Aug 01 14:38:37 GMT 2021","0","test","conduit_panniangyan_test","TestConduit","","","test__logout",""
"broken","Sun Aug 01 14:38:37 GMT 2021","Sun Aug 01 14:38:37 GMT 2021","0","test","conduit_panniangyan_test","TestConduit","","","test__login",""
"broken","Sun Aug 01 14:38:37 GMT 2021","Sun Aug 01 14:38:37 GMT 2021","0","test","conduit_panniangyan_test","TestConduit","","","test__import_data_from_file",""
"broken","Sun Aug 01 14:38:37 GMT 2021","Sun Aug 01 14:38:37 GMT 2021","0","test","conduit_panniangyan_test","TestConduit","","","test__add_new_article",""
"broken","Sun Aug 01 14:38:37 GMT 2021","Sun Aug 01 14:38:37 GMT 2021","0","test","conduit_panniangyan_test","TestConduit","","","test__list_data",""
"broken","Sun Aug 01 14:38:37 GMT 2021","Sun Aug 01 14:38:37 GMT 2021","0","test","conduit_panniangyan_test","TestConduit","","","test__pagination",""
"broken","Sun Aug 01 14:38:37 GMT 2021","Sun Aug 01 14:38:37 GMT 2021","0","test","conduit_panniangyan_test","TestConduit","","","test__accept_cookies",""
"broken","Sun Aug 01 14:38:37 GMT 2021","Sun Aug 01 14:38:37 GMT 2021","0","test","conduit_panniangyan_test","TestConduit","","","test__modify_article",""
"broken","Sun Aug 01 14:38:37 GMT 2021","Sun Aug 01 14:38:37 GMT 2021","0","test","conduit_panniangyan_test","TestConduit","","","test__save_data_to_file",""
"broken","Sun Aug 01 14:38:37 GMT 2021","Sun Aug 01 14:38:37 GMT 2021","0","test","conduit_panniangyan_test","TestConduit","","","test__delete_article",""
